LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
"d $350,000-1 million","CARLETON TRANSPORT SERVICE, INC.",13556 S 220th St,GRETNA,NE,68028,484121,Corporation,White,Male Owned,Non-Veteran,NA,30,04/03/2020,Bank of Hays,NE - 02
"d $350,000-1 million","CARLSON WEST POVONDRA ARCHITECTS, INC.",5060 Dodge Street,OMAHA,NE,68132,541310,Corporation,White,Male Owned,Non-Veteran,NA,22,04/07/2020,Dundee Bank,NE - 02
"d $350,000-1 million",CARPENTER PAPER COMPANY,1101 FORT CROOK RD NORTH,BELLEVUE,NE,68005,424130,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/09/2020,First National Bank of Omaha,NE - 01
"d $350,000-1 million","CARRIAGE, INC",206 S 6th St,BEATRICE,NE,68310,441228,Corporation,Unanswered,Male Owned,Unanswered,NA,0,04/03/2020,First State Bank Nebraska,NE - 03
"d $350,000-1 million",CATHEDRAL OF THE RISEN CHRIST,3500 Sheridan BLVD,LINCOLN,NE,68506,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,55,04/06/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",CATHOLIC BISHOP OF LINCOLN,3400 Sheridan Blvd,LINCOLN,NE,68506,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,74,04/06/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million","CATHOLIC CHARITIES OF THE ARCHDIOCESE OF OMAHA, INC.",3300 N 60TH ST,OMAHA,NE,68104,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,53,04/29/2020,Core Bank,NE - 02
"d $350,000-1 million",CATHOLIC SOCIAL SERVICES,2241 O Street,LINCOLN,NE,68510,624230,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,79,04/06/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",CCS GROUP LLC,655 SOUTH ST Ste 2,SEWARD,NE,68434,238110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,34,04/07/2020,Pinnacle Bank,NE - 01
"d $350,000-1 million","CELEBRITY HOMES, INC.",14002 L Street,OMAHA,NE,68137,236115,Corporation,Unanswered,Unanswered,Unanswered,NA,26,04/14/2020,"U.S. Bank, National Association",NE - 02
"d $350,000-1 million","CENTER FOR PEOPLE IN NEED, INC.",3901 N 27th Street Unit 1,LINCOLN,NE,68521,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,37,04/04/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",CENTER FOR RURAL AFFAIRS,145 Main Street,LYONS,NE,68038,925120,Non-Profit Organization,White,Male Owned,Unanswered,Y,55,04/03/2020,First Northeast Bank of Nebraska,NE - 01
"d $350,000-1 million",CENTRAL CATHOLIC HIGH SCHOOL,1200 RUBY AVE,GRAND ISLAND,NE,68803,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,40,04/03/2020,Five Points Bank,NE - 03
"d $350,000-1 million",CENTRAL CHEVROLET,3510 Kaufman Ave.,GRAND ISLAND,NE,68803,441110,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,NA,28,04/09/2020,Union Bank and Trust Company,NE - 03
"d $350,000-1 million","CENTRAL CONFINEMENT SERVICE, LLC",23321 235 Ave,COLUMBUS,NE,68601,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,56,04/28/2020,"U.S. Bank, National Association",NE - 01
"d $350,000-1 million","CENTRAL NEBRASKA MEDICAL CLINIC , P.C",145 Memorial Dr,BROKEN BOW,NE,68822,621111,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/08/2020,Great Western Bank,NE - 03
"d $350,000-1 million",CENTRAL PLAINS MILLING LLC,2321 Road 14,HOWELLS,NE,68641,311119,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,25,04/15/2020,Homestead Bank,NE - 01
"d $350,000-1 million","CENTRAL VALLEY IRRIGATION, INC.",1625 East Hwy 6,HOLDREGE,NE,68949,221310,Subchapter S Corporation,White,Female Owned,Unanswered,NA,38,04/05/2020,Bruning Bank,NE - 03
"d $350,000-1 million","CENTURY SALES & MANAGEMENT, LLC",2855 South 70TH ST #200,LINCOLN,NE,68506,531311,Limited  Liability Company(LLC),White,Unanswered,Unanswered,NA,66,04/04/2020,Cornhusker Bank,NE - 01
"d $350,000-1 million",CF WEBTOOLS LLC,"11204 Davenport, Ste 100",OMAHA,NE,68154,541511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,31,04/28/2020,Bank of the West,NE - 02
"d $350,000-1 million","CHARLESTON HOMES, LLC",3803 N 153rd St,OMAHA,NE,68116,236115,Corporation,White,Male Owned,Non-Veteran,NA,24,04/04/2020,Security National Bank of Omaha,NE - 02
"d $350,000-1 million",CHARLESTON INC,2639 W 23rd Dr,FREMONT,NE,68025,423730,Corporation,Unanswered,Male Owned,Non-Veteran,NA,NA,04/08/2020,First National Bank of Omaha,NE - 01
"d $350,000-1 million","CHARLESTON'S-OMAHA, INC.",13851 First National Bank Pkwy,OMAHA,NE,68154,722511,Corporation,Unanswered,Unanswered,Unanswered,NA,65,04/08/2020,BancFirst,NE - 02
"d $350,000-1 million",CHARON SHARED SERVICES LLC,1710 S 70TH STREET,LINCOLN,NE,68506,541611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,28,04/03/2020,Pinnacle Bank,NE - 01
"d $350,000-1 million",CHAS. VRANA & SON CONSTRUCTION CO,4816 F ST,OMAHA,NE,68117,236220,Corporation,White,Male Owned,Unanswered,NA,51,04/04/2020,Five Points Bank,NE - 02
"d $350,000-1 million",CHEEVER CONSTRUCTION COMPANY,3425 N 44TH ST,LINCOLN,NE,68504,236220,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Unanswered,NA,38,04/03/2020,Pinnacle Bank,NE - 01
"d $350,000-1 million",CHILD SAVING INSTITUTE,4545 Dodge Street,OMAHA,NE,68132,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,NA,04/08/2020,First National Bank of Omaha,NE - 02
"d $350,000-1 million","CHILDREN'S RESPITE CARE CENTER, INC.",5321 S 138TH ST,OMAHA,NE,68137,623210,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,112,04/05/2020,Pinnacle Bank,NE - 02
"d $350,000-1 million",CHRIST COMMUNITY CHURCH OF THE CHRISTIAN & MISSIONARY ALLIANCE,404 S 108 Avenue,OMAHA,NE,68154,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,57,04/04/2020,American National Bank,NE - 02
"d $350,000-1 million",CHRIST LUTHERAN CHURCH,4325 Sumner Street,LINCOLN,NE,68506,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,71,04/07/2020,Pinnacle Bank,NE - 01
"d $350,000-1 million",CHRIST LUTHERAN CHURCH OF NORFOLK,605 S  5TH ST,NORFOLK,NE,68701,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,NA,04/09/2020,First National Bank of Omaha,NE - 01
"d $350,000-1 million",CHRIST THE KING CHURCH AND CAFETERIA,654 S 86TH ST,OMAHA,NE,68114,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,58,04/08/2020,Five Points Bank,NE - 02
"d $350,000-1 million","CHRISTIAN HOMES, INC.",1923 West 4th Ave,HOLDREGE,NE,68949,623110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,NA,04/29/2020,Great Western Bank,NE - 03
"d $350,000-1 million",CIRRUS TECH INC,416 West 48th Street,KEARNEY,NE,68845,423430,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,22,04/03/2020,Five Points Bank,NE - 03
"d $350,000-1 million",CITY OF GENOA,706 Ewing Avenue,GENOA,NE,68640,622110,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,120,04/27/2020,Genoa Community Bank,NE - 01
"d $350,000-1 million","CITY VENTURES PROFESSIONAL SERVICES, LLC",222 S 15TH ST STE 1404S,OMAHA,NE,68102,523920,Limited Liability Partnership,White,Male Owned,Non-Veteran,NA,33,04/07/2020,Dundee Bank,NE - 02
"d $350,000-1 million",CITYLIGHT CHURCH OF THE C&MA,4383 Nicholas Street STE 120,OMAHA,NE,68131,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,25,04/05/2020,American National Bank,NE - 02
"d $350,000-1 million",CIVIC NEBRASKA,1111 LINCOLN MALL STE 350,LINCOLN,NE,68508,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,35,04/08/2020,Nebraska Bank of Commerce,NE - 01
"d $350,000-1 million","CK2 DEVELOPMENT, LLC",11025 ELM ST,OMAHA,NE,68144,812112,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,NA,40,04/06/2020,Premier Bank,NE - 02
"d $350,000-1 million","CL CONSTRUCTION, LLC",1927 County Road I,WAHOO,NE,68066,238110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,34,04/04/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",CMS CUSTOM LAWN & LANDSCAPE,4151 S 84 Street,OMAHA,NE,68127,561730,Corporation,Unanswered,Male Owned,Non-Veteran,NA,45,04/04/2020,American National Bank,NE - 02
"d $350,000-1 million",COFFMAN-LEVI CHARITABLE TRUST,200 Levi Lane,ADAMS,NE,68301,623110,Trust,Unanswered,Unanswered,Unanswered,NA,0,04/09/2020,First State Bank Nebraska,NE - 01
"d $350,000-1 million","COLE INFORMATION SERVICE, LLC",17041 LAKESIDE HILLS PLZ,OMAHA,NE,68130,551112,Corporation,Unanswered,Unanswered,Unanswered,NA,21,04/27/2020,Core Bank,NE - 02
"d $350,000-1 million",COLON & RECTAL SURGERY INC,9850 Nicholas St Suite 100,OMAHA,NE,68114,621111,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/09/2020,Great Western Bank,NE - 02
"d $350,000-1 million","COLUMBUS FAMILY PRACTICE ASSOCIATES, P.C.",4214 38TH STREET,COLUMBUS,NE,68601,621111,Corporation,Unanswered,Male Owned,Non-Veteran,NA,55,04/05/2020,Pinnacle Bank,NE - 01
"d $350,000-1 million",COLUMBUS MEDICAL CENTER P.C.,1454 28TH AVE,COLUMBUS,NE,68601,621111,Corporation,Unanswered,Unanswered,Unanswered,NA,49,04/06/2020,Columbus Bank and Trust Company,NE - 01
"d $350,000-1 million",COLUMBUS MOTOT COMPANY,2806 23rd St,COLUMBUS,NE,68601,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,38,04/12/2020,"Alerus Financial, National Association",NE - 01
"d $350,000-1 million","COMMERCIAL FLOORING SYSTEMS, INC.",11008 John Galt Boulevard,OMAHA,NE,68137,238330,Subchapter S Corporation,White,Male Owned,Unanswered,NA,21,04/03/2020,Security National Bank of Omaha,NE - 02
"d $350,000-1 million",COMMERCIAL PLASTICS NEBRASKA LLC,10240 DEER PARK RD,WAVERLY,NE,68462,326199,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/13/2020,First American Bank,NE - 01
"d $350,000-1 million","COMMUNICATION SYSTEM SOLUTIONS, INC.",6030 S 58th Street,LINCOLN,NE,68516,334418,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,32,04/04/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",COMMUNITY MEMORIAL HOSPITAL INC,1015 F Street,BURWELL,NE,68823,622310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,97,04/07/2020,Pathway Bank,NE - 03
"d $350,000-1 million","COMPANYCAM, INC.",808 P Street STE 430,LINCOLN,NE,68508,511210,Corporation,Unanswered,Unanswered,Unanswered,NA,43,04/04/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",COMPLETELY KIDS,2566 SAINT MARYS AVE,OMAHA,NE,68105,813219,Non-Profit Organization,White,Female Owned,Non-Veteran,Y,174,04/04/2020,Security National Bank of Omaha,NE - 02
"d $350,000-1 million",COMPUTER CABLE CONNECTION INC,13575 Lynam Drive,OMAHA,NE,68138,541512,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,52,04/03/2020,Pinnacle Bank,NE - 02
"d $350,000-1 million","CONCORDIA LUTHERAN SCHOOLS OF OMAHA, INC.",15656 FORT ST,OMAHA,NE,68116,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,59,04/05/2020,Pinnacle Bank,NE - 02
"d $350,000-1 million",CONEL INC,13235 CHANDLER RD,OMAHA,NE,68138,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,43,04/03/2020,Pinnacle Bank,NE - 02
"d $350,000-1 million",CONSOLIDATED CONCRETE CO.,2000 N. BALTIMORE AVE,HASTINGS,NE,68901,327320,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,42,04/04/2020,Five Points Bank of Hastings,NE - 03
"d $350,000-1 million","CONTEMPORARY OBSTETRICS & GYNECOLOGY, P.C.",101 West 24TH ST,KEARNEY,NE,68847,621111,Corporation,White,Female Owned,Unanswered,NA,30,04/13/2020,Pinnacle Bank,NE - 03
"d $350,000-1 million","CONTRACT STAFFING SPECIALISTS, INC.",9802 Nicholas St Ste 320,OMAHA,NE,68114,561320,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/07/2020,First National Bank of Omaha,NE - 02
"d $350,000-1 million","CONTRACTOR SERVICES, INC",1320 East 8th St,NORTH PLATTE,NE,69101,238990,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,NA,65,04/07/2020,Great Western Bank,NE - 03
"d $350,000-1 million","CONTROL MANAGEMENT, INC",8421 North 29th Street,OMAHA,NE,68112,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,44,04/05/2020,American National Bank,NE - 01
"d $350,000-1 million",CONTROL SERVICES INC,5712 S 85TH CIR,OMAHA,NE,68127,561621,Corporation,Unanswered,Male Owned,Non-Veteran,NA,NA,04/11/2020,First National Bank of Omaha,NE - 02
"d $350,000-1 million","CONTROLLED COMFORT, L.L.C.",11701 Centennial Road,LA VISTA,NE,68128,238220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,53,04/03/2020,Pinnacle Bank,NE - 02
"d $350,000-1 million","COOPERATIVE SUPPLY, INC, NON-STOCK",239 FRONT ST PO BOX 278,DODGE,NE,68633,424910,Corporation,White,Male Owned,Unanswered,NA,33,06/01/2020,CoBank ACB,NE - 01
"d $350,000-1 million","COPPLE CHEVROLET, INC",306 Main St,LOUISVILLE,NE,68037,441110,Corporation,White,Female Owned,Non-Veteran,NA,36,04/03/2020,Pinnacle Bank,NE - 01
"d $350,000-1 million",CORE TECHNOLOGIES INC,9711 M ST,OMAHA,NE,68127,541990,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/13/2020,"U.S. Bank, National Association",NE - 02
"d $350,000-1 million",CORELEAP INC.,3201 S 144th St,OMAHA,NE,68144,442110,Corporation,Unanswered,Unanswered,Unanswered,NA,64,04/28/2020,American National Bank,NE - 02
"d $350,000-1 million",CORMACI CONSTRUCTION INC,1365 S 22ND ST,OMAHA,NE,68108,236210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,50,04/04/2020,Foundation One Bank,NE - 02
"d $350,000-1 million","CORNERSTONE STAFFING, INC.",13934 Gold Circle,OMAHA,NE,68144,561311,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/09/2020,First National Bank of Omaha,NE - 02
"d $350,000-1 million","CORNHUSKER AUTO CENTER, INC.",700 E. NORFOLK AVE,NORFOLK,NE,68701,441110,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,57,04/03/2020,BankFirst,NE - 01
"d $350,000-1 million","CORNHUSKER PJ, LLC",5200 S 48TH ST,LINCOLN,NE,68516,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,118,04/07/2020,Exchange Bank,NE - 01
"d $350,000-1 million","CORNHUSKER ROAD, LLC",2702 Douglas Street,OMAHA,NE,68131,493190,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,93,04/07/2020,Dundee Bank,NE - 02
"d $350,000-1 million","CORPUS CHRISTI CARMELITES, INC",412 West 18th St,KEARNEY,NE,68845,623110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,115,05/21/2020,Farmers and Merchants Bank,NE - 03
"d $350,000-1 million","COUNTRYMAN ASSOCIATES, P.C.",505 North Diers Avenue,GRAND ISLAND,NE,68803,541211,Corporation,White,Male Owned,Unanswered,NA,35,04/04/2020,Heartland Bank,NE - 03
"d $350,000-1 million","COUPLAMATIC SYSTEMS, INC.",250413 Skyport Drive,SCOTTSBLUFF,NE,69361,326220,Corporation,White,Male Owned,Non-Veteran,NA,28,04/04/2020,Platte Valley Bank,NE - 03
"d $350,000-1 million","COURTESY FORD OF NORFOLK, INC.",423 W. MADISON AVE,NORFOLK,NE,68701,441110,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,34,04/03/2020,BankFirst,NE - 01
"d $350,000-1 million",COZAD OPERATIONS LLC,318 West 18th Street,COZAD,NE,69130,623110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,67,04/13/2020,Valley National Bank,NE - 03
"d $350,000-1 million",CREATIVE HAIR DESIGN INC,12025 PACIFIC ST,OMAHA,NE,68154,812112,Corporation,White,Male Owned,Non-Veteran,NA,80,04/04/2020,American National Bank,NE - 02
"d $350,000-1 million",CROMA LLC,720 s 205th st,ELKHORN,NE,68022,812930,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,NA,NA,04/08/2020,First National Bank of Omaha,NE - 02
"d $350,000-1 million",CROSSROADS COOPERATIVE ASSOCIATION,1205 JACKSON ST,SIDNEY,NE,69162,424510,Corporation,White,Male Owned,Unanswered,NA,36,04/03/2020,Platte Valley Bank,NE - 03
"d $350,000-1 million",CROWELL MEMORIAL HOME,245 SOUTH 22ND ST,BLAIR,NE,68008,623110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,95,04/04/2020,Washington County Bank,NE - 01
"d $350,000-1 million",CSG ACTUARIAL,11011 Q STREET SUITE 101B,OMAHA,NE,68137,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,05/03/2020,"Wells Fargo Bank, National Association",NE - 02
"d $350,000-1 million","CTEC, INC.",1928 S Lincoln Ave STE 100,YORK,NE,68467,236220,Corporation,Unanswered,Male Owned,Non-Veteran,NA,49,04/03/2020,York State Bank,NE - 03
"d $350,000-1 million",CUES SCHOOL SYSTEM,2207 Wirt Street,OMAHA,NE,68110,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,97,04/09/2020,Dundee Bank,NE - 02
"d $350,000-1 million",CUSTOM COMPUTING CORPORATION,11135 Mill Valley Rd,OMAHA,NE,68154,541219,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/15/2020,Great Western Bank,NE - 02
"d $350,000-1 million",CUSTOM COUNTERTOP INC,4905 N 56TH ST,LINCOLN,NE,68504,238350,Corporation,White,Male Owned,Unanswered,NA,0,04/03/2020,First State Bank Nebraska,NE - 01
"d $350,000-1 million",CUSTOM FIXTURES INC.,201 South 2nd,BEATRICE,NE,68310,337211,Corporation,White,Male Owned,Non-Veteran,NA,46,04/03/2020,Pinnacle Bank,NE - 03
"d $350,000-1 million",D & D INDUSTRIES INC,34523 415 Street,HUMPHREY,NE,68642,321999,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,NA,35,04/06/2020,Columbus Bank and Trust Company,NE - 01
"d $350,000-1 million",D.R. ANDERSON CONSTRUCTORS CO.,7735 IRVINGTON RD,OMAHA,NE,68122,236210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,35,04/04/2020,Access Bank,NE - 01
"d $350,000-1 million",DAEDALUS CONSTRUCTION CO.,4229 LAFAYETTE AVE,OMAHA,NE,68131,238110,Corporation,White,Male Owned,Non-Veteran,NA,46,04/04/2020,Security National Bank of Omaha,NE - 02
"d $350,000-1 million","DAHLSTEN TRUCK LINE, INC.",101 W EDGAR ST,CLAY CENTER,NE,68933,484121,Corporation,Unanswered,Unanswered,Unanswered,NA,48,04/05/2020,American National Bank,NE - 03
"d $350,000-1 million",DANIEL J GROSS CATHOLIC HIGH SCHOOL,7700 So 43rd St,BELLEVUE,NE,68147,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,20,04/07/2020,American National Bank,NE - 01
"d $350,000-1 million","DANIELS PRODUCE, LLC",37831 205TH ST,COLUMBUS,NE,68601,111219,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,NA,188,04/04/2020,Bank of the Valley,NE - 01
"d $350,000-1 million",DARLAND CONSTRUCTION CO.,4115 S 133RD ST,OMAHA,NE,68137,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,41,04/03/2020,Pinnacle Bank,NE - 02
"d $350,000-1 million","DARR FEEDLOT, INC.",42826 Road 749,COZAD,NE,69130,112112,Corporation,Unanswered,Unanswered,Unanswered,NA,50,04/09/2020,Waypoint Bank,NE - 03
"d $350,000-1 million",DATA RESOURCE TECHNOLOGIES INC,12020 SHAMROCK PLZ SUITE 200,OMAHA,NE,68154,541519,Corporation,White,Female Owned,Non-Veteran,NA,35,04/03/2020,Pinnacle Bank,NE - 02
"d $350,000-1 million",DATABASEUSA.COM LLC,11211 JOHN GALT BLVD,OMAHA,NE,68137,541513,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,NA,35,04/27/2020,Frontier Bank,NE - 02
"d $350,000-1 million","DATAVIZION, LLC","5760 Cornhusker Hwy, Suite 1",LINCOLN,NE,68507,541512,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,42,04/04/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",DAVE'S AUTO BODY CO,9630 REDICK AVE,OMAHA,NE,68122,811121,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/09/2020,First National Bank of Omaha,NE - 01
"d $350,000-1 million","DAVID FIALA, LTD",300 Speedway Cr. #135,LINCOLN,NE,68502,523140,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,NA,0,04/07/2020,First State Bank Nebraska,NE - 01
"d $350,000-1 million",DAVIS DESIGN,1221 N St. Ste 600,LINCOLN,NE,68508,541310,Corporation,Unanswered,Unanswered,Unanswered,NA,56,04/03/2020,West Gate Bank,NE - 01
"d $350,000-1 million","DAWSON TIRE & WHEEL, LLC",511 COTTONWOOD DR,GOTHENBURG,NE,69138,423820,Limited  Liability Company(LLC),White,Male Owned,Unanswered,NA,45,04/03/2020,NebraskaLand National Bank,NE - 03
"d $350,000-1 million",DAYCOS INC,1500 RIVERSIDE BLVD,NORFOLK,NE,68701,541211,Corporation,Unanswered,Unanswered,Unanswered,NA,61,04/04/2020,Midwest Bank National Association,NE - 01
"d $350,000-1 million",DENTAL DESIGNS INC.,3580 Union Drive,LINCOLN,NE,68516,339116,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,73,04/04/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million","DERMATOLOGY SPECIALISTS OF OMAHA, LLC",909  96TH ST,OMAHA,NE,68114,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,67,04/06/2020,Core Bank,NE - 02
"d $350,000-1 million","DESIGN PLASTICS, INC",3550 Keystone Drive,OMAHA,NE,68134,325211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,50,04/15/2020,"U.S. Bank, National Association",NE - 02
"d $350,000-1 million","DEVELOPMENTAL DISABILITY CENTER OF NEBRASKA, LLC",1805 N 73rd St,OMAHA,NE,68114,624120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,NA,04/13/2020,First National Bank of Omaha,NE - 02
"d $350,000-1 million",DIABETES SUPPLY CENTER OF THE MIDLANDS,2910 S 84th St,OMAHA,NE,68124,446110,Corporation,Unanswered,Unanswered,Unanswered,NA,35,04/05/2020,American National Bank,NE - 02
"d $350,000-1 million","DIAGNOSTIC RADIOLOGY, PC",16929 FRANCES ST #204,OMAHA,NE,68130,621111,Partnership,Unanswered,Unanswered,Unanswered,NA,17,04/06/2020,American National Bank,NE - 02
"d $350,000-1 million","DIAL SENIOR MANAGEMENT, INC.",11506 NICHOLAS ST STE 100,OMAHA,NE,68154,623110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,32,04/29/2020,American State Bank,NE - 02
"d $350,000-1 million","DIAL-CLIVE ASSISTED LIVING, LP",11506 NICHOLAS ST Suite 100,OMAHA,NE,68154,623312,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,NA,61,04/08/2020,American State Bank,NE - 02
"d $350,000-1 million","DICE COMMUNICATIONS, INC",4509 S 143RD ST STE 5,OMAHA,NE,68137,517919,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,NA,30,04/27/2020,Enterprise Bank,NE - 02
"d $350,000-1 million",DICKEY-HINDS-MUIR INCORPORATED,3421 S 7th St,LINCOLN,NE,68502,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,50,04/09/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million",DICON CORPORATION,11506 NICHOLAS ST. STE 200,OMAHA,NE,68154,236210,Corporation,Unanswered,Unanswered,Unanswered,NA,23,04/09/2020,Access Bank,NE - 02
"d $350,000-1 million","DIDIER'S GROCERY, INC",122 W 16TH ST,SCHUYLER,NE,68661,445110,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,NA,29,04/27/2020,Bank of the Valley,NE - 01
"d $350,000-1 million","DIERS, INC.",2445 N Broad St,FREMONT,NE,68025,441110,Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/07/2020,First National Bank of Omaha,NE - 01
"d $350,000-1 million",DIETZEL ENTERPRISES INC.,15825 Patrick Ave,OMAHA,NE,68116,238110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,23,04/27/2020,Union Bank and Trust Company,NE - 02
"d $350,000-1 million","DILLON AUTO SALES, INC.",6401 N 28th St,LINCOLN,NE,68504,441120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,34,04/04/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million","DILLON BROTHER HARLEY-DAVIDSON, INC.",3838 N HWS Cleveland Blvd,OMAHA,NE,68116,441228,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,45,04/04/2020,Union Bank and Trust Company,NE - 02
"d $350,000-1 million",DILLON BROTHERS INC,3848 N Hws Cleveland Blvd,OMAHA,NE,68116,441228,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,34,04/04/2020,Union Bank and Trust Company,NE - 02
"d $350,000-1 million",DIMATIC DIE AND TOOL CO.,9520 N 48th St P.O. Box 12037,OMAHA,NE,68112,326199,Corporation,Unanswered,Male Owned,Non-Veteran,NA,43,04/14/2020,American National Bank,NE - 01
"d $350,000-1 million",DIMENSIONS EDUCATIONAL RESEARCH FOUNDATION,7700 A Street,LINCOLN,NE,68510,611710,Professional Association,Unanswered,Unanswered,Unanswered,NA,89,04/03/2020,Union Bank and Trust Company,NE - 01
"d $350,000-1 million","DINGMANS COLLISION CENTER, INC",3402 N  120TH ST,OMAHA,NE,68164,811111,Corporation,Unanswered,Female Owned,Unanswered,NA,44,04/09/2020,Security National Bank of Omaha,NE - 02
"d $350,000-1 million",DINKEL IMPLEMENT CO NORFOLK,3615 W NORFOLK AVE,NORFOLK,NE,68701,423820,Cooperative,White,Male Owned,Unanswered,NA,31,04/03/2020,Elkhorn Valley Bank & Trust,NE - 01
